host_response_time,neighbourhood,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,bed_type,price,minimum_nights,no_of_reviews,scores_rating,scores_cleanliness,scores_location,cancellation_policy
within an hour,Beacon Hill,98144,House,Private room,2,1,1,Real Bed,63,2,23,100,10,10,moderate
within an hour,Capitol Hill,98102,House,Private room,2,1,1,Real Bed,64,2,55,88,8,10,strict
within an hour,Capitol Hill,98102,House,Private room,2,1,1,Real Bed,65,2,6,87,10,10,flexible
within an hour,Capitol Hill,98102,House,Shared room,1,0.5,1,Real Bed,65,4,9,91,7,10,strict
within an hour,Capitol Hill,98102,House,Shared room,1,0.5,1,Real Bed,65,4,4,80,8,10,strict
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,65,2,14,94,9,10,moderate
within an hour,Ballard,98107,House,Private room,2,1,1,Real Bed,65,1,16,94,10,10,moderate
within a few hours,Ballard,98107,House,Private room,2,1,1,Real Bed,65,1,46,97,10,10,moderate
within an hour,Ballard,98107,House,Private room,2,1,1,Real Bed,65,14,31,95,9,10,moderate
within an hour,Capitol Hill,98112,House,Private room,2,1.5,1,Real Bed,65,2,43,99,10,10,flexible
within an hour,Capitol Hill,98112,House,Private room,2,1,1,Real Bed,65,1,353,93,10,9,moderate
within a few hours,Capitol Hill,98112,House,Private room,2,1,1,Real Bed,65,3,22,98,10,10,moderate
N/A,Central Area,98122,House,Private room,2,1,1,Real Bed,65,1,12,90,8,9,moderate
within an hour,Central Area,98122,House,Private room,2,2,1,Real Bed,65,2,73,95,9,10,moderate
within a few hours,Central Area,98122,House,Private room,2,1,1,Real Bed,65,1,3,100,10,10,moderate
within a few hours,Central Area,98122,House,Private room,2,1,1,Real Bed,65,2,158,98,10,9,flexible
within a few hours,Central Area,98144,House,Private room,3,1.5,1,Real Bed,65,1,7,100,10,10,strict
within an hour,Central Area,98122,House,Entire home/apt,3,1,1,Real Bed,66,1,2,100,10,10,flexible
within an hour,Central Area,98122,House,Private room,2,1,1,Real Bed,67,1,10,90,9,9,moderate
within an hour,Capitol Hill,98102,House,Private room,2,1,1,Real Bed,68,2,67,91,9,10,strict
N/A,Central Area,98122,House,Private room,1,1,1,Real Bed,68,2,1,100,10,8,moderate
within an hour,Rainier Valley,98144,House,Private room,2,1,1,Real Bed,68,2,67,99,10,9,flexible
within an hour,Capitol Hill,98102,House,Private room,2,1.5,1,Real Bed,69,2,104,99,10,10,moderate
within an hour,Capitol Hill,98102,House,Private room,1,1,1,Real Bed,69,4,1,100,10,10,strict
within a few hours,Capitol Hill,98102,House,Private room,4,2,1,Real Bed,69,2,6,96,9,10,moderate
within an hour,Central Area,98122,House,Private room,3,1,1,Real Bed,69,1,29,96,10,10,moderate
within an hour,Central Area,98122,House,Private room,3,2,1,Real Bed,69,2,52,95,10,10,moderate
within an hour,Central Area,98122,House,Private room,2,1,1,Real Bed,69,1,94,99,10,10,flexible
within a few hours,Beacon Hill,98144,House,Private room,2,1,1,Real Bed,69,1,4,86,8,8,strict
within an hour,Beacon Hill,98144,House,Entire home/apt,3,1,1,Real Bed,69,2,26,95,10,9,strict
within a few hours,Beacon Hill,98144,House,Private room,2,1,1,Real Bed,69,1,15,98,10,9,strict
within a few hours,Central Area,98144,House,Private room,2,2,1,Real Bed,69,1,12,93,10,9,flexible
within an hour,Central Area,98144,House,Private room,2,1,1,Real Bed,69,1,19,98,10,10,strict
within an hour,Central Area,98144,House,Private room,4,1,1,Real Bed,69,1,61,98,10,9,strict
within an hour,Capitol Hill,98102,House,Private room,4,2,1,Real Bed,70,1,38,98,10,10,moderate
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,70,2,18,99,10,10,moderate
within an hour,Ballard,98107,House,Private room,2,1.5,1,Real Bed,70,2,19,98,10,10,moderate
a few days or more,Ballard,98107,House,Private room,2,1,1,Real Bed,70,2,19,85,7,9,flexible
within a few hours,Ballard,98107,House,Private room,2,1,1,Real Bed,70,2,102,95,10,10,moderate
within a few hours,Central Area,98122,House,Private room,2,1,1,Real Bed,70,1,33,96,10,9,flexible
within an hour,Central Area,98122,House,Private room,3,2,1,Real Bed,70,2,68,91,9,10,moderate
within an hour,Central Area,98122,House,Private room,2,1.5,1,Real Bed,70,1,136,97,10,9,moderate
within a few hours,Central Area,98122,House,Private room,2,2,1,Real Bed,70,2,52,100,10,10,strict
within an hour,Central Area,98144,House,Private room,2,1,1,Real Bed,70,2,183,97,10,9,moderate
within a day,Rainier Valley,98144,House,Private room,2,1,1,Real Bed,70,1,26,98,10,10,moderate
within an hour,Queen Anne,98119,House,Private room,2,1,1,Real Bed,72,1,30,97,10,10,flexible
within a day,Central Area,98122,House,Private room,2,1.5,1,Real Bed,72,2,94,98,10,10,strict
within a day,Central Area,98122,House,Private room,2,1.5,1,Real Bed,72,2,39,95,10,9,strict
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,73,1,5,96,10,10,flexible
within a day,Central Area,98122,House,Entire home/apt,4,1.5,1,Real Bed,73,2,6,92,9,9,moderate
within an hour,Central Area,98122,House,Private room,4,1,1,Real Bed,74,2,4,100,10,10,moderate
within an hour,Capitol Hill,98102,House,Private room,4,1,1,Real Bed,75,2,134,80,8,9,strict
within a few hours,Cascade,98102,House,Entire home/apt,4,1,1,Real Bed,75,2,9,93,9,10,moderate
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,75,2,12,92,10,9,moderate
within an hour,University District,98105,House,Private room,2,1,1,Real Bed,75,1,3,87,9,9,moderate
N/A,Ballard,98107,House,Private room,1,1,1,Real Bed,75,4,9,89,9,9,strict
within an hour,Ballard,98107,House,Private room,2,1,1,Real Bed,75,1,12,95,10,10,flexible
within an hour,Ballard,98107,House,Private room,2,1,1,Real Bed,75,1,19,95,10,10,flexible
within an hour,Downtown,98101,Apartment,Entire home/apt,6,2,2,Pull-out Sofa,137,2,20,88,9,10,strict
within a day,Downtown,98101,Apartment,Private room,2,1,1,Pull-out Sofa,115,1,47,97,10,10,moderate
within an hour,Downtown,98101,Apartment,Entire home/apt,6,2,2,Pull-out Sofa,147,2,23,91,9,10,strict
within a few hours,Downtown,98101,Apartment,Entire home/apt,4,1,1,Pull-out Sofa,175,3,37,92,9,10,strict
within an hour,Downtown,98101,Apartment,Private room,2,1,1,Pull-out Sofa,79,2,139,91,8,10,strict
within a day,Downtown,98101,Apartment,Entire home/apt,4,1,0,Futon,100,1,6,93,9,9,flexible
within an hour,Capitol Hill,98102,Apartment,Entire home/apt,4,1,0,Pull-out Sofa,90,1,2,90,10,10,moderate
within an hour,Capitol Hill,98102,Apartment,Entire home/apt,2,1,0,Futon,114,1,6,100,10,10,flexible
within a few hours,Capitol Hill,98102,Apartment,Entire home/apt,2,1,1,Futon,99,1,87,94,10,10,moderate
within a day,Capitol Hill,98102,Apartment,Shared room,2,1,1,Pull-out Sofa,95,3,6,100,10,10,moderate
within a day,Capitol Hill,98102,Apartment,Shared room,2,1,1,Couch,60,1,14,92,9,10,flexible
within an hour,Cascade,98102,Apartment,Private room,2,1,1,Airbed,42,1,4,75,7,7,moderate
N/A,University District,98105,Apartment,Entire home/apt,2,1,0,Futon,88,1,18,93,10,9,moderate
N/A,University District,98105,Apartment,Shared room,2,1,1,Futon,59,1,146,98,10,9,moderate
within a day,Ballard,98107,Apartment,Private room,1,1,1,Futon,55,2,20,100,10,9,moderate
N/A,Ballard,98107,Apartment,Private room,2,1,1,Futon,50,1,1,100,8,10,flexible
within an hour,Queen Anne,98109,Apartment,Shared room,2,1,1,Pull-out Sofa,39,1,2,100,10,9,flexible
within a few hours,Queen Anne,98109,Apartment,Entire home/apt,3,1,1,Futon,70,1,20,92,9,9,flexible
within a day,Queen Anne,98109,Apartment,Shared room,1,1,1,Couch,38,2,4,100,10,10,flexible
within a few hours,Queen Anne,98109,Apartment,Entire home/apt,3,1,0,Futon,90,1,37,97,10,10,strict
within a few hours,Capitol Hill,98112,Apartment,Entire home/apt,2,1,0,Pull-out Sofa,85,2,11,91,10,10,moderate
within an hour,Capitol Hill,98112,Apartment,Shared room,2,1,1,Futon,30,2,17,92,10,10,flexible
within a day,Queen Anne,98119,Apartment,Entire home/apt,2,1,0,Futon,100,1,20,92,9,9,flexible
N/A,Queen Anne,98119,Apartment,Entire home/apt,3,1,1,Futon,137,2,3,100,10,10,moderate
N/A,Queen Anne,98119,Apartment,Private room,2,1,1,Futon,70,1,1,100,10,10,flexible
within an hour,Queen Anne,98119,Apartment,Private room,2,1,1,Pull-out Sofa,75,2,16,95,10,10,flexible
within a day,Downtown,98121,Apartment,Shared room,2,1,1,Futon,35,1,108,87,7,10,strict
N/A,Downtown,98121,Apartment,Entire home/apt,2,1,1,Futon,125,2,13,94,10,10,strict
within an hour,Downtown,98121,Apartment,Entire home/apt,2,1,0,Pull-out Sofa,100,1,45,98,10,10,flexible
within an hour,Downtown,98121,Apartment,Private room,1,1,1,Futon,68,1,9,87,10,10,strict
within a few hours,Capitol Hill,98122,Apartment,Entire home/apt,2,1,1,Futon,159,1,8,95,10,10,flexible
within a day,Capitol Hill,98122,Apartment,Shared room,2,1,1,Futon,25,1,39,85,7,10,moderate
a few days or more,Capitol Hill,98122,Apartment,Private room,3,1,1,Futon,75,1,5,73,10,9,flexible
within an hour,Capitol Hill,98122,Apartment,Entire home/apt,2,1,0,Pull-out Sofa,70,1,1,100,10,10,flexible
within an hour,Capitol Hill,98122,Apartment,Shared room,2,1,1,Futon,29,1,2,80,8,9,moderate
within a few hours,Central Area,98122,Apartment,Shared room,2,1,1,Futon,59,1,1,80,10,10,strict
N/A,Central Area,98122,Apartment,Entire home/apt,2,1,1,Futon,125,3,21,99,10,10,moderate
within a day,Central Area,98122,Apartment,Shared room,3,1,1,Airbed,60,1,18,92,8,9,flexible
within a few hours,Central Area,98122,Apartment,Private room,1,1,1,Futon,37,2,18,89,8,9,strict
within an hour,Central Area,98122,Apartment,Private room,2,1,1,Pull-out Sofa,39,1,54,82,7,9,flexible
within a few hours,Beacon Hill,98144,Apartment,Shared room,2,1,1,Futon,45,1,2,100,10,10,flexible
within a day,Central Area,98144,Apartment,Private room,2,1,1,Futon,60,1,26,97,10,9,flexible
within a few hours,Downtown,98101,Apartment,Entire home/apt,4,1,1,Real Bed,999,1,54,94,9,10,moderate
within a few hours,Downtown,98121,Apartment,Entire home/apt,10,2,3,Real Bed,899,3,5,100,10,10,strict
within a few hours,Capitol Hill,98122,Apartment,Entire home/apt,6,2,2,Real Bed,600,5,1,100,10,10,moderate
within a few hours,Downtown,98121,Apartment,Entire home/apt,4,2.5,2,Real Bed,557,6,31,99,10,10,strict
within an hour,Cascade,98109,Apartment,Entire home/apt,6,2,2,Real Bed,550,3,7,100,10,10,flexible
within a day,Downtown,98122,Apartment,Entire home/apt,4,2,2,Real Bed,500,5,1,100,10,10,strict
within a day,Downtown,98121,Apartment,Entire home/apt,9,2.5,3,Real Bed,475,3,2,100,10,10,strict
within a day,Downtown,98101,Apartment,Entire home/apt,8,2,3,Real Bed,425,3,2,90,10,9,strict
within a day,Downtown,98121,Apartment,Entire home/apt,8,3,3,Real Bed,405,3,4,100,10,10,strict
a few days or more,Cascade,98109,Apartment,Entire home/apt,5,2,2,Real Bed,400,3,8,76,7,9,strict
within a few hours,Downtown,98101,Apartment,Entire home/apt,5,2,2,Real Bed,399,3,2,80,9,9,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,4,1,1,Real Bed,365,1,9,100,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,5,2,2,Real Bed,350,20,38,98,10,10,strict
within a day,Downtown,98121,Apartment,Entire home/apt,8,2,3,Real Bed,335,3,3,100,9,10,strict
within a few hours,Downtown,98101,Apartment,Entire home/apt,4,2,2,Real Bed,325,6,19,92,10,10,moderate
within a few hours,Capitol Hill,98102,Apartment,Entire home/apt,8,2,2,Real Bed,325,1,23,90,9,10,strict
within a day,Downtown,98121,Apartment,Entire home/apt,6,2.5,2,Real Bed,320,1,22,97,9,10,strict
within a few hours,Downtown,98101,Apartment,Entire home/apt,5,2,2,Real Bed,311,7,7,100,10,10,strict
N/A,University District,98105,Apartment,Entire home/apt,8,1,4,Real Bed,306,1,1,80,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,5,2,2,Real Bed,300,2,1,100,10,10,strict
a few days or more,Downtown,98101,Apartment,Entire home/apt,3,1.5,1,Real Bed,300,2,1,100,10,10,moderate
within a few hours,Capitol Hill,98102,Apartment,Entire home/apt,8,2,2,Real Bed,300,2,2,100,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,5,2,2,Real Bed,300,2,4,95,10,10,strict
within an hour,Queen Anne,98119,Apartment,Entire home/apt,6,2,3,Real Bed,300,2,6,100,10,10,moderate
within a few hours,Downtown,98121,Apartment,Entire home/apt,6,2,2,Real Bed,300,2,6,100,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,4,2,2,Real Bed,299,2,26,98,10,10,strict
N/A,Downtown,98101,Apartment,Entire home/apt,4,1,1,Real Bed,276,1,11,96,10,10,moderate
within a few hours,Downtown,98121,Apartment,Entire home/apt,4,1,1,Real Bed,275,2,3,93,10,9,strict
N/A,Downtown,98101,Apartment,Entire home/apt,2,1,0,Real Bed,275,1,11,93,8,10,flexible
within a few hours,Downtown,98121,Apartment,Entire home/apt,4,1,2,Real Bed,275,2,22,95,10,10,strict
within a day,Downtown,98121,Apartment,Entire home/apt,4,1,1,Real Bed,270,1,1,80,10,10,strict
within a few hours,Capitol Hill,98102,Apartment,Entire home/apt,5,2,2,Real Bed,259,2,13,98,9,10,strict
N/A,Capitol Hill,98122,Apartment,Entire home/apt,5,1,1,Real Bed,250,3,1,100,10,10,strict
within a day,Downtown,98101,Apartment,Private room,6,2,1,Real Bed,250,1,2,83,8,10,strict
N/A,Capitol Hill,98122,Apartment,Entire home/apt,3,1.5,2,Real Bed,250,3,4,100,10,10,strict
within a few hours,Downtown,98122,Apartment,Entire home/apt,7,2,2,Real Bed,250,1,8,95,10,10,moderate
within a few hours,Capitol Hill,98112,Apartment,Entire home/apt,5,1,2,Real Bed,250,4,9,96,9,10,flexible
within a few hours,Capitol Hill,98102,Apartment,Entire home/apt,8,2,2,Real Bed,250,4,41,96,10,10,strict
within a few hours,Downtown,98121,Apartment,Entire home/apt,6,2,2,Real Bed,250,1,68,94,9,10,moderate
within a few hours,Downtown,98101,Apartment,Entire home/apt,3,1,1,Real Bed,249,5,4,55,7,10,strict
N/A,Downtown,98121,Apartment,Entire home/apt,4,1,1,Real Bed,245,3,2,80,8,9,strict
within a day,Downtown,98101,Apartment,Entire home/apt,6,2,2,Real Bed,245,3,3,73,10,10,strict
within a day,Downtown,98101,Apartment,Entire home/apt,6,2,2,Real Bed,245,3,8,93,10,10,strict
within an hour,Queen Anne,98119,Apartment,Entire home/apt,4,1,2,Real Bed,245,3,13,98,10,10,moderate
within an hour,Downtown,98121,Apartment,Entire home/apt,6,2,2,Real Bed,245,2,16,100,10,10,strict
within a few hours,Downtown,98101,Apartment,Entire home/apt,6,2,2,Real Bed,245,3,18,98,9,10,strict
within an hour,Capitol Hill,98102,Apartment,Entire home/apt,7,2,2,Real Bed,240,3,11,100,10,9,strict
within a day,Downtown,98101,Apartment,Entire home/apt,6,2,2,Real Bed,239,3,1,100,10,10,strict
N/A,Capitol Hill,98122,Apartment,Entire home/apt,2,1,1,Real Bed,239,2,2,100,10,10,moderate
within a day,Downtown,98121,Apartment,Entire home/apt,6,2,2,Real Bed,239,3,4,95,10,10,strict
within an hour,Capitol Hill,98102,Apartment,Entire home/apt,6,1,2,Real Bed,239,3,15,97,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,3,1.5,1,Real Bed,237,2,30,99,10,10,strict
within a few hours,Queen Anne,98109,Apartment,Entire home/apt,4,2,2,Real Bed,235,1,2,100,10,10,moderate
within a few hours,Downtown,98101,Apartment,Entire home/apt,4,1,1,Real Bed,230,3,2,100,10,10,strict
within a day,Downtown,98121,Apartment,Entire home/apt,6,2,2,Real Bed,230,2,10,98,10,10,strict
within a day,Downtown,98121,Apartment,Entire home/apt,5,1,2,Real Bed,229,1,1,80,8,10,strict
within a few hours,Downtown,98121,Apartment,Entire home/apt,4,2,2,Real Bed,229,7,6,100,10,10,strict
within a day,Ballard,98107,Apartment,Entire home/apt,4,2,2,Real Bed,225,2,10,98,10,10,flexible
within a few hours,Downtown,98101,Apartment,Entire home/apt,7,2,2,Real Bed,225,3,18,97,10,9,strict
within an hour,Capitol Hill,98102,Apartment,Entire home/apt,5,1,1,Real Bed,225,1,84,91,8,10,strict
N/A,Capitol Hill,98102,Apartment,Private room,2,1,1,Real Bed,220,1,2,100,10,10,flexible
within an hour,Cascade,98109,Apartment,Private room,2,1,1,Real Bed,220,1,12,100,10,10,moderate
N/A,Cascade,98109,Apartment,Entire home/apt,2,1,1,Real Bed,220,3,21,96,9,9,strict
within a day,Capitol Hill,98112,Apartment,Entire home/apt,6,1,2,Real Bed,220,5,34,96,9,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,2,1,1,Real Bed,220,14,71,96,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,3,1,1,Real Bed,219,2,1,100,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,3,1,1,Real Bed,219,2,2,90,10,10,strict
within an hour,Downtown,98121,Apartment,Entire home/apt,4,1,2,Real Bed,219,2,44,95,10,10,strict
within a few hours,Queen Anne,98119,Apartment,Entire home/apt,4,1,2,Real Bed,217,2,156,97,9,10,moderate
within a few hours,Downtown,98121,Apartment,Entire home/apt,6,1,2,Real Bed,215,2,3,100,10,10,strict
within a few hours,Downtown,98121,Apartment,Entire home/apt,4,1,1,Real Bed,215,2,9,91,10,10,strict
within a day,Capitol Hill,98102,Apartment,Entire home/apt,2,1,1,Real Bed,212,2,4,95,10,10,flexible
within a few hours,Capitol Hill,98122,Apartment,Entire home/apt,5,2,2,Real Bed,210,1,10,96,8,10,strict
within a few hours,Queen Anne,98109,Apartment,Entire home/apt,2,1,1,Real Bed,209,3,1,100,10,10,moderate
within an hour,Downtown,98101,Apartment,Entire home/apt,3,1,1,Real Bed,209,2,16,96,10,10,strict
N/A,Capitol Hill,98102,Apartment,Entire home/apt,6,2,2,Real Bed,209,2,29,97,9,10,strict
within a few hours,Queen Anne,98109,Apartment,Entire home/apt,2,1,1,Real Bed,205,1,1,100,10,10,moderate
within a few hours,Downtown,98121,Apartment,Entire home/apt,4,1,1,Real Bed,205,2,20,93,10,9,strict
within a day,Capitol Hill,98122,Apartment,Entire home/apt,6,1,2,Real Bed,204,3,31,92,10,9,strict
N/A,Queen Anne,98109,Apartment,Entire home/apt,2,1,1,Real Bed,200,1,1,100,10,10,moderate
N/A,Capitol Hill,98112,Apartment,Entire home/apt,5,1,4,Real Bed,200,1,1,100,10,10,flexible
within a day,Ballard,98107,Apartment,Entire home/apt,3,1,1,Real Bed,200,2,4,95,9,10,moderate
within an hour,Central Area,98122,Apartment,Entire home/apt,4,1,2,Real Bed,200,3,4,90,10,10,strict
within an hour,Capitol Hill,98102,Apartment,Entire home/apt,4,1,2,Real Bed,200,2,5,84,8,8,moderate
within a day,Capitol Hill,98112,Apartment,Entire home/apt,2,1,1,Real Bed,200,2,5,84,9,10,moderate
N/A,Downtown,98121,Apartment,Entire home/apt,3,1,1,Real Bed,200,5,5,100,9,10,flexible
N/A,Capitol Hill,98122,Apartment,Entire home/apt,2,1,1,Real Bed,200,2,6,100,10,10,moderate
within a day,Queen Anne,98109,Apartment,Entire home/apt,4,2,2,Real Bed,200,2,7,89,9,9,moderate
within an hour,Queen Anne,98119,Apartment,Entire home/apt,5,2,2,Real Bed,200,2,7,94,7,10,moderate
N/A,Queen Anne,98119,Apartment,Entire home/apt,2,1,1,Real Bed,200,2,7,91,10,10,moderate
within a few hours,Central Area,98122,Apartment,Entire home/apt,2,2,1,Real Bed,200,5,8,100,10,10,strict
within an hour,Queen Anne,98109,Apartment,Entire home/apt,4,1,2,Real Bed,200,2,11,91,9,10,strict
N/A,Central Area,98122,Apartment,Entire home/apt,3,1,0,Real Bed,200,3,12,93,10,8,strict
within an hour,Queen Anne,98109,Apartment,Entire home/apt,3,1,1,Real Bed,200,2,14,96,10,10,moderate
within a few hours,Downtown,98121,Apartment,Entire home/apt,7,2,2,Real Bed,200,1,23,97,10,10,strict
N/A,Queen Anne,98109,Apartment,Entire home/apt,2,1,2,Real Bed,200,1,27,85,8,9,strict
within an hour,Ballard,98107,Apartment,Entire home/apt,4,1,1,Real Bed,200,2,35,95,9,10,flexible
within a few hours,Downtown,98121,Apartment,Entire home/apt,7,2,2,Real Bed,200,2,47,95,10,10,strict
within an hour,Queen Anne,98109,Apartment,Entire home/apt,2,1,1,Real Bed,199,2,1,100,10,10,moderate
within an hour,Central Area,98122,Apartment,Entire home/apt,3,2,2,Real Bed,199,2,3,100,10,9,strict
N/A,Downtown,98109,Apartment,Entire home/apt,4,1,2,Real Bed,199,1,5,72,6,9,flexible
within an hour,Queen Anne,98109,Apartment,Entire home/apt,2,1,1,Real Bed,199,2,13,97,10,10,strict
N/A,Capitol Hill,98102,Apartment,Entire home/apt,2,1,1,Real Bed,199,3,22,94,9,10,strict
within an hour,Capitol Hill,98122,Apartment,Entire home/apt,2,1,1,Real Bed,199,1,32,96,9,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,3,1,1,Real Bed,199,2,50,94,10,10,strict
within an hour,Capitol Hill,98102,Apartment,Entire home/apt,4,1,2,Real Bed,199,2,110,97,10,10,strict
within an hour,Capitol Hill,98102,Apartment,Entire home/apt,6,1,2,Real Bed,198,3,5,96,10,9,strict
within a few hours,Downtown,98121,Apartment,Entire home/apt,6,2,2,Real Bed,197,2,5,95,10,10,strict
within a few hours,Downtown,98121,Apartment,Entire home/apt,6,2,2,Real Bed,197,2,9,96,10,10,strict
within an hour,Downtown,98121,Apartment,Entire home/apt,6,2,2,Real Bed,197,2,12,95,10,10,strict
within a day,Downtown,98122,Apartment,Entire home/apt,6,2,2,Real Bed,196,3,40,96,10,9,strict
N/A,Cascade,98102,Apartment,Private room,2,1,1,Real Bed,195,2,2,90,7,10,moderate
within a day,Downtown,98105,Apartment,Entire home/apt,6,1,2,Real Bed,195,2,4,95,10,10,strict
within a few hours,Downtown,98121,Apartment,Entire home/apt,6,2,2,Real Bed,195,2,10,100,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,6,2,1,Real Bed,195,3,14,90,10,9,moderate
within an hour,Capitol Hill,98112,Apartment,Entire home/apt,2,1,1,Real Bed,195,2,15,96,9,10,strict
within a day,Downtown,98121,Apartment,Entire home/apt,6,1,2,Real Bed,195,2,16,93,10,10,strict
within an hour,Capitol Hill,98122,Apartment,Entire home/apt,4,2,2,Real Bed,195,3,25,95,10,10,strict
N/A,Queen Anne,98109,Apartment,Entire home/apt,4,1,1,Real Bed,195,2,28,82,8,9,strict
within an hour,Capitol Hill,98102,Apartment,Entire home/apt,3,1,2,Real Bed,195,3,30,99,10,10,strict
within an hour,Capitol Hill,98122,Apartment,Entire home/apt,4,2,2,Real Bed,195,3,31,97,10,10,strict
within an hour,Capitol Hill,98122,Apartment,Entire home/apt,4,1.5,2,Real Bed,195,3,32,97,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,5,2,2,Real Bed,195,3,84,98,10,10,moderate
within an hour,Queen Anne,98119,Apartment,Entire home/apt,4,1,1,Real Bed,195,2,164,98,10,10,moderate
within a day,Downtown,98121,Apartment,Entire home/apt,6,1,2,Real Bed,193,2,5,88,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,4,1,1,Real Bed,190,7,4,100,10,9,strict
N/A,Cascade,98109,Apartment,Entire home/apt,2,1,1,Real Bed,190,2,7,100,10,9,moderate
within an hour,Capitol Hill,98102,Apartment,Entire home/apt,2,1,2,Real Bed,190,2,31,93,10,10,moderate
N/A,Capitol Hill,98122,Apartment,Entire home/apt,4,1,1,Real Bed,189,2,2,100,10,10,strict
N/A,Downtown,98101,Apartment,Entire home/apt,4,1,1,Real Bed,189,2,7,89,10,9,strict
within a day,Queen Anne,98119,Apartment,Entire home/apt,4,1,2,Real Bed,189,5,13,91,9,9,moderate
within a few hours,Downtown,98101,Apartment,Entire home/apt,4,1,1,Real Bed,188,1,20,96,10,10,strict
within a few hours,Downtown,98121,Apartment,Entire home/apt,4,1,1,Real Bed,187,2,6,97,10,9,strict
within a few hours,Downtown,98121,Apartment,Entire home/apt,4,1,1,Real Bed,187,2,6,90,10,9,strict
N/A,Capitol Hill,98102,Apartment,Entire home/apt,3,1,1,Real Bed,185,5,1,100,10,10,moderate
within a few hours,Downtown,98101,Apartment,Entire home/apt,4,1,1,Real Bed,185,3,4,90,10,10,strict
within a few hours,Capitol Hill,98122,Apartment,Entire home/apt,4,1,2,Real Bed,185,4,13,98,10,10,moderate
within an hour,Cascade,98109,Apartment,Entire home/apt,3,1,1,Real Bed,183,2,6,100,10,10,strict
within an hour,Cascade,98109,Apartment,Entire home/apt,4,1,1,Real Bed,183,2,20,96,10,10,strict
within an hour,Cascade,98109,Apartment,Entire home/apt,3,1,1,Real Bed,183,2,26,98,10,10,strict
within a few hours,Downtown,98121,Apartment,Entire home/apt,4,1,1,Real Bed,181,2,1,80,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,6,2,2,Real Bed,181,2,9,96,10,10,strict
within an hour,Queen Anne,98119,Apartment,Entire home/apt,4,2,2,Real Bed,180,2,1,100,10,10,moderate
within a few hours,Capitol Hill,98122,Apartment,Entire home/apt,5,1,1,Real Bed,180,5,8,94,9,10,moderate
within an hour,Capitol Hill,98112,Apartment,Entire home/apt,4,1,1,Real Bed,180,2,9,91,10,10,moderate
within an hour,Downtown,98101,Apartment,Entire home/apt,3,1,1,Real Bed,180,2,51,98,10,10,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,2,1,0,Real Bed,179,2,6,87,10,10,moderate
within a few hours,Central Area,98122,Apartment,Entire home/apt,2,1,1,Real Bed,179,1,32,96,9,10,flexible
within an hour,Downtown,98121,Apartment,Entire home/apt,3,1,1,Real Bed,179,20,48,95,10,9,strict
within an hour,Downtown,98101,Apartment,Entire home/apt,6,1,2,Real Bed,179,3,57,94,10,10,strict
within a few hours,Downtown,98101,Apartment,Entire home/apt,2,1,1,Real Bed,175,3,1,100,10,10,moderate
N/A,Queen Anne,98109,Apartment,Entire home/apt,2,1,1,Real Bed,175,2,1,100,10,10,flexible
N/A,Capitol Hill,98122,Apartment,Entire home/apt,2,1,1,Real Bed,175,1,2,100,10,10,flexible
N/A,Capitol Hill,98122,Apartment,Entire home/apt,3,1,1,Real Bed,175,1,3,100,8,10,flexible
within an hour,Central Area,98122,Apartment,Entire home/apt,4,1,2,Real Bed,175,3,3,100,10,10,strict
within a few hours,Capitol Hill,98102,Apartment,Entire home/apt,6,2,2,Real Bed,175,4,4,90,8,8,moderate
within a few hours,Ballard,98107,Apartment,Entire home/apt,2,1,1,Real Bed,175,1,5,96,10,10,flexible
within a few hours,Capitol Hill,98102,Apartment,Entire home/apt,4,1,2,Real Bed,175,6,6,93,9,9,strict
N/A,Capitol Hill,98102,Apartment,Entire home/apt,3,1,0,Real Bed,175,1,8,93,9,10,moderate
within a few hours,Queen Anne,98109,Apartment,Entire home/apt,2,1,0,Real Bed,175,2,8,93,9,10,flexible
within an hour,Capitol Hill,98122,Apartment,Entire home/apt,5,1,1,Real Bed,175,2,9,84,8,9,flexible
within a few hours,Downtown,98121,Apartment,Entire home/apt,3,1,1,Real Bed,175,2,12,90,10,10,flexible
within a few hours,Downtown,98121,Apartment,Entire home/apt,6,1,2,Real Bed,175,2,12,100,10,10,strict
